image,Book Name,Author,Rating,Customers_Rated,Price
"https://images-eu.ssl-images-amazon.com/images/I/71-BcSc9rhS._AC_UL200_SR200,200_.jpg","Redmi Note 10 (Aqua Green, 6GB RAM, 128GB Storage) - Amoled Dot Display | 48MP Sony Sensor IMX582 | Snapdragon 678…",0,4.0 out of 5 stars,"17,213","₹ 14,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/61bKM6CSSFL._AC_UL200_SR200,200_.jpg",JBL C50HI by Harman in-Ear Headphones with Mic (Black),0,3.8 out of 5 stars,"44,108",₹ 499.00
"https://images-eu.ssl-images-amazon.com/images/I/61kMZ0w6WOL._AC_UL200_SR200,200_.jpg",WeCool Moonwalk Mini Earbuds with Magnetic Charging Case IPX5 Wireless Earphones with Digital Battery Indicator for…,0,3.8 out of 5 stars,"8,039",₹ 799.00
"https://images-eu.ssl-images-amazon.com/images/I/710jkZNub3S._AC_UL200_SR200,200_.jpg","Samsung Galaxy M11 (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",0,4.1 out of 5 stars,"1,222","₹ 8,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/61ku39qVEzL._AC_UL200_SR200,200_.jpg",boAt Rockerz 255 Sports in-Ear Bluetooth Neckband Earphone with Mic (Active Black),0,4.0 out of 5 stars,"2,21,149","₹ 1,299.00"
"https://images-eu.ssl-images-amazon.com/images/I/71geVdy6-OS._AC_UL200_SR200,200_.jpg","OPPO A74 5G (Fantastic Purple, 6GB RAM, 128GB Storage)",0,3.9 out of 5 stars,141,"₹ 17,990.00"
"https://images-eu.ssl-images-amazon.com/images/I/51vwQzwM%2BZL._AC_UL200_SR200,200_.jpg",OnePlus Buds Z (White),0,4.2 out of 5 stars,"18,295","₹ 2,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/71sxlhYhKWL._AC_UL200_SR200,200_.jpg","Redmi 9A (Sea Blue, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",0,4.2 out of 5 stars,"40,479","₹ 6,799.00"
"https://images-eu.ssl-images-amazon.com/images/I/71sxlhYhKWL._AC_UL200_SR200,200_.jpg","Redmi 9A (Nature Green, 2GB Ram, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",0,4.2 out of 5 stars,"40,479","₹ 6,799.00"
"https://images-eu.ssl-images-amazon.com/images/I/714QWDxXgNL._AC_UL200_SR200,200_.jpg","Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh…",0,4.0 out of 5 stars,"11,284","₹ 9,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/715t-uJnjMS._AC_UL200_SR200,200_.jpg","Redmi Note 10 (Shadow Black, 6GB RAM, 128GB Storage)",0,4.0 out of 5 stars,"17,213","₹ 14,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/61mucoT%2BifL._AC_UL200_SR200,200_.jpg",HP X1000 Wired Mouse (Black/Grey),0,4.3 out of 5 stars,"25,948",₹ 349.00
"https://images-eu.ssl-images-amazon.com/images/I/716nHhG9SWL._AC_UL200_SR200,200_.jpg","Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage) | 5000 mAh| 2.3GHz Mediatek Helio G35 Octa core Processor",0,4.2 out of 5 stars,"35,796","₹ 8,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/71kSLhL3NDL._AC_UL200_SR200,200_.jpg",HP 680 Original Ink Advantage Cartridge (Black),0,4.2 out of 5 stars,"11,191",₹ 794.00
"https://images-eu.ssl-images-amazon.com/images/I/61xeIT6UHrL._AC_UL200_SR200,200_.jpg",boAt Bassheads 900 On Ear Wired Headphones(Carbon Black),0,4.2 out of 5 stars,"35,266",₹ 674.00
"https://images-eu.ssl-images-amazon.com/images/I/81sWGJAQX9S._AC_UL200_SR200,200_.jpg","Realme narzo 20 (Glory Sliver, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",0,4.0 out of 5 stars,393,0
"https://images-eu.ssl-images-amazon.com/images/I/51opLBd1kgL._AC_UL200_SR200,200_.jpg","pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo…",0,3.9 out of 5 stars,"2,876",₹ 249.00
"https://images-eu.ssl-images-amazon.com/images/I/71X5I1cVfbL._AC_UL200_SR200,200_.jpg","Redmi Note 9 Shadow Black, 4GB RAM, 64GB Storage",0,4.3 out of 5 stars,"56,362","₹ 10,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/71zlbKfhFsL._AC_UL200_SR200,200_.jpg","OnePlus Nord 5G (Gray Onyx, 12GB RAM, 256GB Storage)",0,4.3 out of 5 stars,"67,569","₹ 29,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/51R4FJdgbMS._AC_UL200_SR200,200_.jpg",OnePlus Bullets Wireless Z Bass Edition (Bold Black),0,4.3 out of 5 stars,"33,423","₹ 1,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/61AfKd6NMdS._AC_UL200_SR200,200_.jpg",boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Mysterious Blue),0,3.9 out of 5 stars,"14,172","₹ 1,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/61IhTtJUXJL._AC_UL200_SR200,200_.jpg","Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",0,4.2 out of 5 stars,"11,114","₹ 10,990.00"
"https://images-eu.ssl-images-amazon.com/images/I/51fMwaNRSJL._AC_UL200_SR200,200_.jpg",boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),0,4.2 out of 5 stars,"22,457",₹ 399.00
"https://images-eu.ssl-images-amazon.com/images/I/718oUpT8MUL._AC_UL200_SR200,200_.jpg",Boult Audio BassBuds Loop in-Ear Wired Earphones with 12mm Powerful Driver for Extra Bass with Customizable Ear Loop…,0,3.9 out of 5 stars,"22,573",₹ 349.00
"https://images-eu.ssl-images-amazon.com/images/I/71hEzQGO5qL._AC_UL200_SR200,200_.jpg",Redmi 9 Power (Mighty Black 4GB RAM 64GB Storage) - 6000mAh Battery |FHD+ Screen | 48MP Quad Camera,0,4.2 out of 5 stars,"26,732","₹ 9,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/7123d26rFxL._AC_UL200_SR200,200_.jpg",realme Buds Classic Wired Earphones with HD Microphone Black,0,4.1 out of 5 stars,"12,387",₹ 399.00
"https://images-eu.ssl-images-amazon.com/images/I/81fwKtv0VHL._AC_UL200_SR200,200_.jpg","Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free",0,4.2 out of 5 stars,"19,301","₹ 12,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/61ps647J0SL._AC_UL200_SR200,200_.jpg","boAt BassHeads 100 Chennai Super Kings Edition in-Ear Wired Earphones with Super Extra Bass, in-line Mic, Hawk Inspired…",0,4.1 out of 5 stars,"1,57,915",₹ 399.00
"https://images-eu.ssl-images-amazon.com/images/I/51cMtuIw27L._AC_UL200_SR200,200_.jpg",Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Red),0,4.0 out of 5 stars,"26,576",0
"https://images-eu.ssl-images-amazon.com/images/I/61b91WUDxmL._AC_UL200_SR200,200_.jpg",boAt Rugged v3 Extra Tough Unbreakable Braided Micro USB Cable 1.5 Meter (Black),0,4.1 out of 5 stars,"38,027",₹ 299.00
"https://images-eu.ssl-images-amazon.com/images/I/41fQ5NSkEWL._AC_UL200_SR200,200_.jpg",TP-link N300 WiFi Wireless Router TL-WR845N | 300Mbps Wi-Fi Speed | Three 5dBi high gain Antennas | IPv6 Compatible | AP…,0,4.2 out of 5 stars,"82,339",₹ 999.00
"https://images-eu.ssl-images-amazon.com/images/I/713g7tCij5L._AC_UL200_SR200,200_.jpg","Zebronics Zeb-Corolla In Ear Wired Earphone with Mic, 3.5mm Jack, 1.2 Meter Cable, Multi Function Button",0,3.5 out of 5 stars,609,₹ 149.00
"https://images-eu.ssl-images-amazon.com/images/I/61vtLhO6fDL._AC_UL200_SR200,200_.jpg","Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)",0,4.5 out of 5 stars,"4,286","₹ 1,899.00"
"https://images-eu.ssl-images-amazon.com/images/I/81MbOF%2BPYQL._AC_UL200_SR200,200_.jpg",Samsung EVO Plus 64GB microSDXC UHS-I 100MB/s Full HD & 4K UHD Memory Card with Adapter (MB-MC64HA),0,4.4 out of 5 stars,"61,666",₹ 679.00
"https://images-eu.ssl-images-amazon.com/images/I/71ERrkBqNCL._AC_UL200_SR200,200_.jpg",Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Grey Black),0,4.0 out of 5 stars,"26,576",₹ 299.00
"https://images-eu.ssl-images-amazon.com/images/I/614P%2B3LGo%2BL._AC_UL200_SR200,200_.jpg",boAt Bassheads 242 in Ear Wired Earphones with Mic(Neon Green),0,4.1 out of 5 stars,"35,413",₹ 499.00
"https://images-eu.ssl-images-amazon.com/images/I/6113mS%2BxhyL._AC_UL200_SR200,200_.jpg","Noise ColorFit Pro 2- India's No. 1 Basic Smartwatch with 24x7 Dynamic Heart Rate Tracking, 10 Day Battery, Full Touch…",0,4.0 out of 5 stars,"35,051","₹ 2,599.00"
"https://images-eu.ssl-images-amazon.com/images/I/61pBvlYVPxL._AC_UL200_SR200,200_.jpg","AmazonBasics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black",0,4.4 out of 5 stars,"2,73,072",₹ 299.00
"https://images-eu.ssl-images-amazon.com/images/I/71s7hhBssLL._AC_UL200_SR200,200_.jpg",Zinq Technologies Cool Slate Dual Fan Cooling Pad for Notebook/Laptop with Dual USB Port(Black),0,4.2 out of 5 stars,"4,521",₹ 899.00
"https://images-eu.ssl-images-amazon.com/images/I/518-%2B0jg8BS._AC_UL200_SR200,200_.jpg","Philips SHE1505 in-Ear Rich Bass Headphones with 10 mm Drivers, Passive Noise Isolation and Mic (Black)",0,3.8 out of 5 stars,"10,809",₹ 325.00
"https://images-eu.ssl-images-amazon.com/images/I/31N9ADI8c7L._AC_UL200_SR200,200_.jpg","TP-Link TL-WA850RE N300 Wireless Range Extender, Broadband/Wi-Fi Extender, Wi-Fi Booster/Hotspot with 1 Ethernet Port…",0,4.2 out of 5 stars,"90,880","₹ 1,399.00"
"https://images-eu.ssl-images-amazon.com/images/I/51lTzQUZDEL._AC_UL200_SR200,200_.jpg",OnePlus Buds Z (Gray),0,4.2 out of 5 stars,"18,295","₹ 2,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/61yo4swj-PL._AC_UL200_SR200,200_.jpg","Logitech C270 HD Webcam, HD 720p/30fps, Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype…",0,4.3 out of 5 stars,"6,590","₹ 2,049.00"
"https://images-eu.ssl-images-amazon.com/images/I/71lvlk%2BzwGL._AC_UL200_SR200,200_.jpg","Ambrane Unbreakable 3A Fast Charging Braided Micro USB Cable for Android Devices – 1.5 Meter (RCM15, Black)",0,4.0 out of 5 stars,"9,735",₹ 159.00
"https://images-eu.ssl-images-amazon.com/images/I/71yYaNztZ0L._AC_UL200_SR200,200_.jpg","Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh…",0,4.0 out of 5 stars,"11,284","₹ 12,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/61lecqJdPOS._AC_UL200_SR200,200_.jpg","Noise ColorFit Pro 3 Spo2 Smart Watch with Built-in Oximeter Function (for Blood Oxygen Measurement), 1.55"" HD Display…",0,4.2 out of 5 stars,"8,142","₹ 4,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/71sxlhYhKWL._AC_UL200_SR200,200_.jpg","Redmi 9A (Midnight Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor",0,4.2 out of 5 stars,"40,479","₹ 6,799.00"
"https://images-eu.ssl-images-amazon.com/images/I/61OeSSBoP3L._AC_UL200_SR200,200_.jpg",Set of 2 piece Mini USB LED Light Adjust Angle / bendable Portable Flexible USB Light with usb for power bank PC Laptop…,0,3.7 out of 5 stars,"5,393",₹ 28.00
"https://images-eu.ssl-images-amazon.com/images/I/61eoFn%2BlpDL._AC_UL200_SR200,200_.jpg",Fire-Boltt SpO2 Full Touch 1.4 inch Smart Watch 8 Days Battery Life Compatible with Android and iOS IPX7 with Heart Rate…,0,4.1 out of 5 stars,"5,413","₹ 2,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/51jR6miqHTS._AC_UL200_SR200,200_.jpg","Noise Air Buds Truly Wireless Earbuds with Mic for Crystal Clear Calls, HD Sound, Smart Touch and 20 Hour Playtime - ICY…",0,3.8 out of 5 stars,"5,547","₹ 2,299.00"
"https://images-eu.ssl-images-amazon.com/images/I/51ax8peHlPL._AC_UL200_SR200,200_.jpg","TP-Link Archer C6 Gigabit MU-MIMO Wireless Router, Dual Band 1200 Mbps Wi-Fi Speed, 5 Gigabit Ports, 4 External Antennas…",0,4.3 out of 5 stars,"18,986","₹ 2,499.00"
"https://images-eu.ssl-images-amazon.com/images/I/81VXoI0y%2BkL._AC_UL200_SR200,200_.jpg",Dell MS116 Optical Mouse,0,4.5 out of 5 stars,"5,764",₹ 309.00
"https://images-eu.ssl-images-amazon.com/images/I/71Lx9l3NivL._AC_UL200_SR200,200_.jpg","OnePlus Nord 5G (Blue Marble, 12GB RAM, 256GB Storage)",0,4.3 out of 5 stars,"67,569","₹ 29,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/61DmRvjZCIL._AC_UL200_SR200,200_.jpg","WeCool Moonwalk M1 True Wireless Earbuds (TWS) IPX 5 and Digital Display Charging Case, Bluetooth Earphones with Mic for…",0,3.6 out of 5 stars,"12,097",₹ 899.00
"https://images-eu.ssl-images-amazon.com/images/I/61fkjbrjnUL._AC_UL200_SR200,200_.jpg",boAt Rockerz 255 Pro in-Ear Bluetooth Neckband Earphone with Mic(Navy Blue),0,4.0 out of 5 stars,"2,21,149","₹ 1,399.00"
"https://images-eu.ssl-images-amazon.com/images/I/71XlOI9x%2BvL._AC_UL200_SR200,200_.jpg",Zebronics Wired Keyboard and Mouse Combo with 104 Keys and a USB Mouse with 1200 DPI - JUDWAA 750,0,3.8 out of 5 stars,"2,262",₹ 355.00
"https://images-eu.ssl-images-amazon.com/images/I/81fwKtv0VHL._AC_UL200_SR200,200_.jpg","Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest 8nm Snapdragon 720G &Alexa Hands-Free Capable",0,4.2 out of 5 stars,"50,018","₹ 12,999.00"
"https://images-eu.ssl-images-amazon.com/images/I/51iQFttRP9L._AC_UL200_SR200,200_.jpg","TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible…",0,4.3 out of 5 stars,"1,11,720",₹ 499.00
"https://images-eu.ssl-images-amazon.com/images/I/71Rcb9pnbEL._AC_UL200_SR200,200_.jpg",Mi 10000mAH Li-Polymer Power Bank 3i with 18W Fast Charging Make in India (Midnight Black),0,4.3 out of 5 stars,"38,950",₹ 899.00
"https://images-eu.ssl-images-amazon.com/images/I/61cC5FjgF1L._AC_UL200_SR200,200_.jpg","Boat Rockerz 335 Wireless Neckband with ASAP Charge, Up to 30H Playback, Qualcomm aptX & CVC, Enhanced Bass, Metal…",0,4.1 out of 5 stars,"12,546","₹ 1,599.00"
"https://images-eu.ssl-images-amazon.com/images/I/51k2mS2m4kL._AC_UL200_SR200,200_.jpg","TP-Link USB Bluetooth Adapter for PC 4.0 Bluetooth Dongle Receiver Support Windows 10/8.1/8/7/XP for Desktop, Laptop…",0,4.2 out of 5 stars,"61,905",₹ 489.00
"https://images-eu.ssl-images-amazon.com/images/I/41H%2BChAEwNL._AC_UL200_SR200,200_.jpg","Ambrane 2.4A Dual Port Car Charger for All Smartphones + Free Micro USB Cable (ACC-74-M, Black & Silver)",0,3.9 out of 5 stars,403,₹ 149.00
"https://images-eu.ssl-images-amazon.com/images/I/71OxJeyywSL._AC_UL200_SR200,200_.jpg","Samsung Galaxy M31 (Space Black, 8GB RAM, 128GB Storage)",0,4.3 out of 5 stars,"1,79,722","₹ 16,999.00"
